項目,日期,完成日期,狀態,說明,備註,支援人員,支援類別,對象,經銷商,聯絡人,展碁人員,部門,CSA 類別,Solution Play,產品,一般分類,費用,虛擬金額,申請 Incentive,微軟協助人員
微軟 Intune 介紹,2025/11/20 下午 02:00,2025/11/20 下午 03:00,完成,WSUS 淘汰需評估 微軟 Intune 如何取代,成大醫院,Aaron,經銷商產品訓練,,,,,,Security,,,Security,,,,
微软安全加速月 All-in-One Protection：Microsoft Security Suite-Defender XDR,2025/11/26 下午 04:00,2025/11/26 下午 05:30,完成,微软安全加速月 All-in-One Protection：Microsoft Security Suite-Defender XDR,,Aaron,受訓,,,,,,Security,,,Security,,,,
微软安全加速月受訓,2025/11/26 下午 04:00,2025/11/26 下午 05:30,完成,微软安全加速月 All-in-One Protection：Microsoft Security Suite-Defender XDR,,Lucas,受訓,,,,,,Security,,,Security,,,,
台灣大哥大2025金馬獎直播azure支援,2025/11/22 下午 04:00,2025/11/22 下午 11:30,完成,台灣大哥大2025金馬獎直播azure支援,,Lucas,技術支援,customer,,,,,CAIP,,,Azure,,,,
取得 Microsoft Applied Skills︰準備安全性和合規性以支援 Microsoft 365 Copilot,2025/11/14 下午 05:00,2025/12/14 下午 06:00,完成,取得 Microsoft Applied Skills︰準備安全性和合規性以支援 Microsoft 365 Copilot ,,Aaron,Certification,,,,,,Security,,,Copilot for M365,,,,
取得 Microsoft套用技能：在 Microsoft Copilot Studio 中建立代理程式,2025/11/20 下午 05:00,2025/11/20 下午 06:00,完成,取得 Microsoft套用技能：在 Microsoft Copilot Studio 中建立代理程式,,Aaron,Certification,,,,,,AIBS,,,Copilot Studio,,,,
終端整合科技 365 DNS 設定,2025/11/6 下午 02:00,2025/11/6 下午 04:00,完成,終端整合科技 365 DNS 新增 & 驗證，新增帳號指派授權,,Aaron,技術支援,customer,巴爾可,,,,,,,M365,,,,
Microsoft Copilot革命性全面賦能，重塑生產力,2025/11/19 上午 10:00,2025/12/19 下午 12:00,完成,Microsoft Copilot 革命性全面賦能，重塑生產力實際課程,展碁國際內部教育訓練,Aaron,Training,customer,,,,,CAIP,,,Copilot for M365,,,,
網創_展碁365移轉工具介紹,2025/11/21 下午 04:30,2025/11/21 下午 05:00,完成,網創_展碁365移轉工具 Cloudiway 介紹,網創_展碁365移轉工具 Cloudiway 介紹,Aaron,經銷商產品訓練,,,,,,,,,,,,,
取得 Microsoft套用技能：在 Microsoft Copilot Studio 中建立代理程式,2025/11/26 上午 12:00,2025/11/26 上午 12:00,完成,取得 Microsoft套用技能：在 Microsoft Copilot Studio 中建立代理程式,,Lucas,Certification,,,,,,AIBS,,,,,,,
博瑞達 Microsoft Entra Connect 建置,2025/12/1 上午 10:00,2025/12/1 下午 12:00,完成,博瑞達 Microsoft Entra Connect 建置,,Aaron,技術支援,,,,,,,,,M365,,,,
取得 Microsoft Applied Skills︰準備安全性和合規性以支援 Microsoft 365 Copilot,2025/11/26 上午 12:00,2025/11/26 上午 12:00,完成,取得 Microsoft Applied Skills︰準備安全性和合規性以支援 Microsoft 365 Copilot ,,Lucas,Certification,,,,,,Security,,,,,,,
嘉龍資訊 Azure移轉,2025/12/9 上午 12:00,2025/12/9 上午 12:00,完成,嘉龍資訊 Azure 贊助權益移轉及權限調整,,Lucas,技術支援,customer,,,,,CAIP,,,Azure,,"8,000",,
新碩資訊   登馳365資安討論,2025/12/3 上午 11:00,2025/12/3 上午 11:30,完成,"目前客戶購買授權為：商業 Microsoft 365 Business Standard10套
預計要使用 Intune 和 Entra ID P1，這邊建議可以升級至 Microsoft 365 商務進階版，除了上述兩個功能還可以增加 Defender for Business 和 Defender for Office 365",,Aaron,,customer,,,,,Security,,,Security,,,,
耀瑄Azure問題確認,2025/12/9 上午 12:00,2025/12/9 上午 12:00,完成,耀瑄客戶Azure 費用保證問題排查，經檢驗為gpt5 用量太大，導致費用超用,,Lucas,技術支援,,,,,,CAIP,,,Azure,,,,
Weblink_M365 Copilot 微軟上課日,2025/12/5 下午 12:00,2025/12/5 下午 01:00,完成,Desray 對展碁業務進行教育訓練關於 M365 Copilot Chat 與 Agent 更新介紹,,Aaron,受訓,,,,,,AIBS,,,Copilot for M365,,,,Desray
Zeabur 無法登入,2025/12/1 上午 12:00,2025/12/1 上午 12:00,完成,Zeabur 無法登入，和經銷商溝通提供可能的原因，並提供幾種解決方案請經銷商和用戶溝通,,Lucas,技術移轉,,,,,,CAIP,,,Azure,,,,
Power Platform 解决方案架构师专家认证 — 微软认证加速周之冬藏篇,2025/12/1 下午 01:00,2025/12/1 下午 03:00,完成,Power Platform 解决方案架构师专家认证線上課程,,Nick,Training,,,,,,AIBS,,,Copilot Studio,,,,
Power Platform 解决方案架构师专家认证 — 微软认证加速周之冬藏篇,2025/12/2 下午 01:00,2025/12/2 下午 03:00,完成,Power Platform 解决方案架构师专家认证線上課程,,Nick,Training,,,,,,AIBS,,,Copilot Studio,,,,
Power Platform 解决方案架构师专家认证 — 微软认证加速周之冬藏篇,2025/12/3 下午 01:00,2025/12/3 下午 03:00,完成,Power Platform 解决方案架构师专家认证線上課程,,Nick,Training,,,,,,,,,Copilot Studio,,,,
Power Platform 解决方案架构师专家认证 — 微软认证加速周之冬藏篇,2025/12/4 下午 01:00,2025/12/4 下午 03:00,完成,Power Platform 解决方案架构师专家认证線上課程,,Nick,Training,,,,,,AIBS,,,Copilot Studio,,,,
Power Platform 解决方案架构师专家认证 — 微软认证加速周之冬藏篇,2025/12/5 下午 01:00,2025/12/5 下午 03:00,完成,Power Platform 解决方案架构师专家认证線上課程,,Nick,Training,,,,,,AIBS,,,Copilot Studio,,,,
產品自動化問答系統建立專案-階段1,2025/12/1 上午 09:00,2025/12/1 下午 12:00,完成,"客製化開發架構設計, 預計主機架設於Azure app sevice, 確立使用的服務有Azure app service, storage account, power autimate","第一階段, 設計架構完成",Nick,Weblink Solution Offering,,,,,,AIBS,,,Azure,,,,
產品自動化問答系統建立專案-階段1,2025/12/2 上午 09:00,2025/12/2 下午 12:00,完成,程式套件與腳本功能測試,"本機程式端執行測試, 確認程式能正確連線至Azure服務",Nick,Weblink Solution Offering,,,,,,AIBS,,,Azure,,,,
產品自動化問答系統建立專案-階段1,2025/12/3 上午 09:00,2025/12/3 下午 12:00,完成,power automate寄信功能與判斷式設計,設計每月更新與月中更新的寄信內容差異,Nick,Weblink Solution Offering,,,,,,AIBS,,,Copilot Studio,,,,
產品自動化問答系統建立專案-階段1,2025/12/4 上午 09:00,2025/12/4 下午 12:00,完成,"撰寫程式功能：
每日觸發爬蟲
每日網頁差異比對
API觸發寄信功能",,Nick,Weblink Solution Offering,,,,,,AIBS,,,Azure,,,,
產品自動化問答系統建立專案-階段1,2025/12/5 上午 09:00,2025/12/5 下午 12:00,完成,架構完成進行線上佈署測試,"架構仍有bug, 整合上需再調整",Nick,Weblink Solution Offering,,,,,,AIBS,,,Azure,,,,
產品自動化問答系統建立專案-階段1,2025/12/9 上午 09:00,2025/12/9 下午 05:00,完成,"佈署與功能測試, 前端網頁與後端整合, 主要功能與power automate串接測試","各功能串接完成, 測試正常",Nick,Weblink Solution Offering,,,,,,AIBS,,,Azure,,,,
鈦度討論 azure load balancer 設定,2025/12/17 上午 11:30,2025/12/17 下午 12:00,完成,會議討論azure負載平衡器的一些設定參數,,Lucas,技術支援,經銷商,,,,,CAIP,,,Azure,,,,
工研院Azure移轉討論,2025/12/18 上午 11:00,2025/12/18 下午 12:00,完成,工研院Azure CSP移轉到展碁討論,,Lucas,技術移轉,customer,,,,,CAIP,,,Azure,,,,
育碁azure vm異常線上處理,2025/12/23 下午 01:00,2025/12/23 下午 02:00,完成,育碁azure vm異常，無法連線，緊急線上通過一些手段判斷應是防火牆問題，且一般修復指令無效，建案後微軟工程師也判斷為防火牆問題，用一些修復方式也都無效，因客戶有備份，只能用先前備份還原,,Lucas,除錯,customer,,,,,CAIP,,,Azure,,,,
Ignite 90 線上webnar,2025/12/24 下午 02:00,2026/1/8 下午 03:23,完成,配合微軟surpstep Ignite 90 線上webnar,,Lucas,Webinar,經銷商,,,,,CAIP,,,Azure,,,,
奇瑞Azure SQL規格討論,2025/12/29 上午 11:00,2025/12/29 下午 12:00,完成,,奇瑞Azure SQL規格討論，用戶因費用考量計劃從AWS要將SQL VM移動到地端，會議討論提供azure vm規格及報價參考,Lucas,技術支援,經銷商,,,,,CAIP,,,Azure,,,,
文策院 azure移轉,2025/12/29 上午 11:30,2025/12/29 下午 12:00,完成,文策院 azure移轉到CSP,,Lucas,技術支援,customer,,,,,CAIP,,,Azure,"8,000",,,
信息安全管理员助理认证培訓,2025/12/1 上午 12:00,2025/12/5 上午 12:00,完成,信息安全管理员助理认证培訓周,,Lucas,受訓,,,,,,CAIP,,,Azure,,,,
鴻佰 Azure FPO權限調整,2025/12/30 上午 11:00,2025/12/30 下午 12:00,完成,鴻佰 Azure CSP FPO權限調整，用戶要從其他代理商移轉到展碁,,Lucas,技術支援,customer,,,,,CAIP,,,Azure,,,,
考取 SC-401 Microsoft Certified: Information Security Administrator Associate資訊安全管理員助理認證證照,2026/1/2 下午 02:30,2026/1/2 下午 05:30,完成,考取資訊安全管理員助理認證Microsoft Certified: Information Security Administrator Associate  SC-401,,Lucas,Certification,,,,,,CAIP,,,Azure,"20,000",,,
易豐科技_Azure 訂用帳戶搬家,2026/1/8 下午 02:00,2026/1/8 下午 02:30,完成,易豐科技_Azure 訂用帳戶從信用卡搬家到展碁CSP,協助資源移動到展碁csp,Lucas,技術支援,customer,,,,,CAIP,,,Azure,,"20,000",,
Copilot Chat Adoption Partner Bootcamp,2025/12/11 下午 03:00,2025/12/11 下午 04:30,完成,"Copilot Chat Adoption Partner Bootcamp
Microsoft 原廠線上介紹",,Aaron,受訓,,,,,,CAIP,,,Copilot for M365,,,,
AD與M365整合討論,2025/12/16 下午 02:29,2025/12/16 下午 03:00,完成,詢問該如何將地端 AD 與 Microsoft 365 同步帳號密碼,,Aaron,,customer,逸凡科技,,,,,,,M365,,,,
科雅光_逸凡_M365上雲專案會議,2025/12/17 上午 10:00,2025/12/17 上午 11:00,完成,想從MAIL2000 搬上M365，並且希望整合所有Office產品(包含Teams、Share Point) ，另有郵件稽核、機敏字元審核、郵件延遲發送需求,"郵件延遲確定沒有，只能從個別使用者 Outlook 應用程式設定排程發送，無法透過管理中心設定。

郵件審批，請參考以下網頁內容。
https://learn.microsoft.com/zh-tw/exchange/recipients-in-exchange-online/moderated-recipients-exo/moderated-recipients-exo
https://learn.microsoft.com/zh-tw/exchange/security-and-compliance/mail-flow-rules/common-message-approval-scenarios
機敏文字偵測，要使用 Microsoft Purview DLP 的功能，需要額外授權。
https://learn.microsoft.com/zh-tw/purview/dlp-policy-reference

https://learn.microsoft.com/zh-tw/office365/servicedescriptions/microsoft-365-service-descriptions/microsoft-365-tenantlevel-services-licensing-guidance/microsoft-purview-service-description#microsoft-purview-data-loss-prevention-data-loss-prevention-dlp-for-exchange-online-sharepoint-online-and-onedrive-for-business
",,,customer,逸凡,,,,Security,,,Security,,,,
